Season,Episode,Title,Director,Writers,Aired,us_viewers
4,18,"""Identity Crisis""",Winrich Kolbe,Story by?: Timothy DeHaas,"March 25, 1991",10.9
4,19,"""The Nth Degree""",Robert Legato,Joe Menosky,"April 1, 1991",11
4,20,"""Qpid""",Cliff Bole,Story by?: Randee Russell & Ira Steven Behr,"April 22, 1991",10.8
4,21,"""The Drumhead""",Jonathan Frakes,Jeri Taylor,"April 29, 1991",10.5
4,22,"""Half a Life""",Les Landau,Story by?: Ted Roberts & Peter Allan Fields,"May 6, 1991",Unknown
4,23,"""The Host""",Marvin V. Rush,Michel Horvat,"May 13, 1991",11.3
4,24,"""The Mind's Eye""",David Livingston,Story by?: Ken Schafer & René Echevarria,"May 27, 1991",10.1
4,25,"""In Theory""",Patrick Stewart,Joe Menosky & Ronald D. Moore,"June 3, 1991",9.8
4,26,"""Redemption, Part I""",Cliff Bole,Ronald D. Moore,"June 17, 1991",10.9
5,1,"""Redemption, Part II""",David Carson,Ronald D. Moore,"September 23, 1991",N/A
5,2,"""Darmok""",Winrich Kolbe,Story by?: Philip LaZebnik & Joe Menosky,"September 30, 1991",N/A
5,3,"""Ensign Ro""",Les Landau,Story by?: Rick Berman & Michael Piller,"October 7, 1991",11.6
5,4,"""Silicon Avatar""",Cliff Bole,Story by?: Lawrence V. Conley,"October 14, 1991",12
5,5,"""Disaster""",Gabrielle Beaumont,Story by?: Ron Jarvis & Philip A. Scorza,"October 21, 1991",12.3
5,6,"""The Game""",Corey Allen,Story by?: Susan Sackett & Fred Bronson & Brannon Braga,"October 28, 1991",13.4
5,7,"""Unification, Part I""",Les Landau,Story by?: Rick Berman & Michael Piller,"November 4, 1991",15.4
5,8,"""Unification, Part II""",Cliff Bole,Story by?: Rick Berman & Michael Piller,"November 11, 1991",15.4
5,9,"""A Matter of Time""",Paul Lynch,Rick Berman,"November 18, 1991",13.9
5,10,"""New Ground""",Robert Scheerer,Story by?: Sara Charno & Stuart Charno,"December 30, 1991",11.9
5,11,"""Hero Worship""",Patrick Stewart,Story by?: Hilary J. Bader,"January 6, 1992",12.7
5,12,"""Violations""",Robert Wiemer,Story by?: Shari Goodhartz & T. Michael & Pamela Gray,"January 27, 1992",12.1
5,13,"""The Masterpiece Society""",Winrich Kolbe,Story by?: James Kahn & Adam Belanoff,"February 3, 1992",12
5,14,"""Conundrum""",Les Landau,Story by?: Paul Schiffer,"February 10, 1992",12.2
5,15,"""Power Play""",David Livingston,Story by?: Paul Ruben & Maurice Hurley,"February 17, 1992",13.2
5,16,"""Ethics""",Chip Chalmers,Story by?: Sara Charno & Stuart Charno,"February 24, 1992",12.6
5,17,"""The Outcast""",Robert Scheerer,Jeri Taylor,"March 16, 1992",12.3
5,18,"""Cause and Effect""",Jonathan Frakes,Brannon Braga,"March 23, 1992",13
5,19,"""The First Duty""",Paul Lynch,Ronald D. Moore & Naren Shankar,"March 30, 1992",12.1
5,20,"""Cost of Living""",Winrich Kolbe,Peter Allan Fields,"April 20, 1992",11.7
5,21,"""The Perfect Mate""",Cliff Bole,Story by?: René Echevarria & Gary Perconte,"April 27, 1992",10.8
5,22,"""Imaginary Friend""",Gabrielle Beaumont,Story by?: Jean Louise Matthias & Ronald Wilkerson & Richard Fliegel,"May 4, 1992",12.1
5,23,"""I, Borg""",Robert Lederman,René Echevarria,"May 11, 1992",12.8
5,24,"""The Next Phase""",David Carson,Ronald D. Moore,"May 18, 1992",11.7
5,25,"""The Inner Light""",Peter Lauritson,Story by?: Morgan Gendel,"June 1, 1992",11.1
5,26,"""Time's Arrow, Part I""",Les Landau,Story by?: Joe Menosky,"June 15, 1992",11.8
6,1,"""Time's Arrow, Part II""",Les Landau,Story by?: Joe Menosky,"September 21, 1992",13.8
6,2,"""Realm of Fear""",Cliff Bole,Brannon Braga,"September 28, 1992",13.2
6,3,"""Man of the People""",Winrich Kolbe,Frank Abatemarco,"October 5, 1992",13.2
6,4,"""Relics""",Alexander Singer,Ronald D. Moore,"October 12, 1992",13.9
6,5,"""Schisms""",Robert Wiemer,Story by?: Jean Louise Matthias & Ronald Wilkerson,"October 19, 1992",13.2
6,6,"""True Q""",Robert Scheerer,René Echevarria,"October 26, 1992",13.7
6,7,"""Rascals""",Adam Nimoy,Story by?: Ward Botsford & Diana Dru Bostford and Michael Piller,"November 2, 1992",13.5
6,8,"""A Fistful of Datas""",Patrick Stewart,Story by?: Robert Hewitt Wolfe,"November 9, 1992",13.4
6,9,"""The Quality of Life""",Jonathan Frakes,Naren Shankar,"November 16, 1992",13.2
6,10,"""Chain of Command, Part I""",Robert Scheerer,Story by?: Frank Abatemarco,"December 14, 1992",10.2
6,11,"""Chain of Command, Part II""",Les Landau,Frank Abatemarco,"December 21, 1992",12.9
6,12,"""Ship in a Bottle""",Alexander Singer,René Echevarria,"January 25, 1993",11.3
6,13,"""Aquiel""",Cliff Bole,Story by?: Jeri Taylor,"February 1, 1993",14.1
6,14,"""Face of the Enemy""",Gabrielle Beaumont,Story by?: René Echevarria,"February 8, 1993",13.1
6,15,"""Tapestry""",Les Landau,Ronald D. Moore,"February 15, 1993",13.8
6,16,"""Birthright, Part I""",Winrich Kolbe,Brannon Braga,"February 22, 1993",13.2
6,17,"""Birthright, Part II""",Dan Curry,René Echevarria,"March 1, 1993",13.4
6,18,"""Starship Mine""",Cliff Bole,Morgan Gendel,"March 29, 1993",13
6,19,"""Lessons""",Robert Wiemer,Ronald Wilkerson & Jean Louise Matthias,"April 5, 1993",12.2
6,20,"""The Chase""",Jonathan Frakes,Story by?: Ronald D. Moore & Joe Menosky,"April 26, 1993",11.2
6,21,"""Frame of Mind""",James L. Conway,Brannon Braga,"May 3, 1993",11.4
6,22,"""Suspicions""",Cliff Bole,Joe Menosky & Naren Shankar,"May 10, 1993",11.3
6,23,"""Rightful Heir""",Winrich Kolbe,Story by?: James E. Brooks,"May 17, 1993",10.6
6,24,"""Second Chances""",LeVar Burton,Story by?: Michael A. Medlock,"May 24, 1993",9.7
6,25,"""Timescape""",Adam Nimoy,Brannon Braga,"June 14, 1993",11.6
6,26,"""Descent, Part I""",Alexander Singer,Story by?: Jeri Taylor,"June 21, 1993",11.7
7,1,"""Descent, Part II""",Alexander Singer,René Echevarria,"September 20, 1993",13
7,2,"""Liaisons""",Cliff Bole,Story by?: Roger Eschbacher & Jaq Greenspon,"September 27, 1993",12.2
7,3,"""Interface""",Robert Wiemer,Joe Menosky,"October 4, 1993",11.7
7,4,"""Gambit, Part I""",Peter Lauritson,Story by?: Naren Shankar & Christopher Hatton,"October 11, 1993",11.9
7,5,"""Gambit, Part II""",Alexander Singer,Story by?: Naren Shankar,"October 18, 1993",12
7,6,"""Phantasms""",Patrick Stewart,Brannon Braga,"October 25, 1993",12.2
7,7,"""Dark Page""",Les Landau,Hilary J. Bader,"November 1, 1993",11.6
7,8,"""Attached""",Jonathan Frakes,Nick Sagan[a],"November 8, 1993",12.1
7,9,"""Force of Nature""",Robert Lederman,Naren Shankar,"November 15, 1993",11.9
7,10,"""Inheritance""",Robert Scheerer,Story by?: Dan Koeppel,"November 22, 1993",11.6
7,11,"""Parallels""",Robert Wiemer,Brannon Braga,"November 29, 1993",12.8
7,12,"""The Pegasus""",LeVar Burton,Ronald D. Moore,"January 10, 1994",11.9
7,13,"""Homeward""",Alexander Singer,Story by?: Spike Steingasser,"January 17, 1994",11.8
7,14,"""Sub Rosa""",Jonathan Frakes,Story by?: Jeri Taylor,"January 31, 1994",11.5
7,15,"""Lower Decks""",Gabrielle Beaumont,Story by?: Ronald Wilkerson & Jean Louise Matthias,"February 7, 1994",11.9
7,16,"""Thine Own Self""",Winrich Kolbe,Story by?: Christopher Hatton,"February 14, 1994",11.4
7,17,"""Masks""",Robert Wiemer,Joe Menosky,"February 21, 1994",11.8
7,18,"""Eye of the Beholder""",Cliff Bole,Story by?: Brannon Braga,"February 28, 1994",13.3
7,19,"""Genesis""",Gates McFadden,Brannon Braga,"March 21, 1994",11.3
7,20,"""Journey's End""",Corey Allen,Ronald D. Moore,"March 28, 1994",11.9
7,21,"""Firstborn""",Jonathan West,Story by?: Mark Kalbfeld,"April 25, 1994",11.4
7,22,"""Bloodlines""",Les Landau,Nick Sagan[a],"May 2, 1994",11.3
7,23,"""Emergence""",Cliff Bole,Story by?: Brannon Braga,"May 9, 1994",11.3
7,24,"""Preemptive Strike""",Patrick Stewart,Story by?: Naren Shankar,"May 16, 1994",11.8
7,25,"""All Good Things...""",Winrich Kolbe,Ronald D. Moore & Brannon Braga,"May 23, 1994",17.4
7,26,"""All Good Things...""",Winrich Kolbe,Ronald D. Moore & Brannon Braga,"May 23, 1994",17.4
